,Player,Tm,season17_18
535,Kyle Collinsworth,DAL,"$50,000 "
536,Demetrius Jackson,HOU,"$50,000 "
537,Daniel Ochefu,WAS,"$50,000 "
538,Michael Young,WAS,"$50,000 "
539,Nate Wolters,UTA,"$50,000 "
540,Naz Mitrou-Long,UTA,"$50,000 "
541,Eric Griffin,UTA,"$50,000 "
542,Jacob Pullen,PHI,"$50,000 "
543,James Michael McAdoo,PHI,"$50,000 "
544,Nigel Hayes,NYK,"$50,000 "
545,Jalen Moore,MIL,"$50,000 "
546,Gary Payton,MIL,"$50,000 "
547,Matt Williams,MIA,"$50,000 "
548,Vince Hunter,MEM,"$50,000 "
549,Vander Blue,LAL,"$50,000 "
550,V.J. Beachem,LAL,"$50,000 "
551,Briante Weber,LAL,"$50,000 "
552,Jamil Wilson,LAC,"$50,000 "
553,Briante Weber,HOU,"$50,000 "
554,Luis Montero,DET,"$50,000 "
555,Gian Clavell,DAL,"$50,000 "
556,Antonius Cleveland,DAL,"$50,000 "
557,Diamond Stone,CHI,"$50,000 "
558,Yakuba Ouattara,BRK,"$50,000 "
559,Jeremy Evans,ATL,"$50,000 "
560,Nigel Hayes,LAL,"$46,080 "
561,Nigel Hayes,TOR,"$46,080 "
562,Rodney Purvis,ORL,"$46,080 "
563,Xavier Rathan-Mayes,MEM,"$46,080 "
564,Trey McKinney-Jones,IND,"$46,080 "
565,Jameel Warney,DAL,"$46,080 "
566,Marcus Thornton,CLE,"$46,080 "
567,DeAndre Liggins,ATL,"$26,773 "
568,Axel Toupane,NOP,"$25,000 "
569,Quinn Cook,NOP,"$25,000 "
570,Chris Johnson,HOU,"$25,000 "
571,Beno Udrih,DET,"$25,000 "
572,Joel Bolomboy,MIL,"$22,248 "
573,Jarell Eddie,CHI,"$17,224 "
